internet_usage,sex,age,education
1,Mujer,19,Primaria
1,Hombre,44,Medios universitarios
0,Mujer,54,Primaria
1,Mujer,38,Medios universitarios
0,Mujer,85,Primaria
1,Mujer,31,Medios universitarios
0,Hombre,71,Primaria
1,Hombre,42,Superiores
0,Mujer,57,Sin estudios
1,Hombre,51,Medios universitarios
1,Hombre,64,Primaria
1,Hombre,31,F.P.
0,Mujer,66,Sin estudios
0,Mujer,31,Primaria
0,Hombre,81,Sin estudios
0,Mujer,47,Primaria
0,Mujer,19,Primaria
1,Hombre,24,Primaria
1,Hombre,48,Primaria
1,Hombre,25,Primaria
0,Hombre,50,Primaria
0,Mujer,38,Primaria
1,Mujer,21,Medios universitarios
1,Mujer,34,Secundaria
0,Mujer,65,Secundaria
0,Hombre,35,Primaria
1,Hombre,37,Primaria
1,Mujer,64,Primaria
1,Hombre,47,Medios universitarios
1,Mujer,19,Primaria
1,Hombre,38,F.P.
1,Hombre,28,F.P.
1,Mujer,33,F.P.
0,Mujer,75,Primaria
1,Hombre,73,Secundaria
1,Mujer,41,Medios universitarios
1,Hombre,54,Primaria
1,Hombre,23,Primaria
1,Hombre,32,Medios universitarios
0,Hombre,60,Primaria
0,Mujer,58,Superiores
1,Mujer,47,Medios universitarios
0,Mujer,71,Primaria
1,Mujer,35,Medios universitarios
1,Mujer,30,F.P.
1,Hombre,41,Superiores
0,Hombre,82,Primaria
1,Mujer,26,Medios universitarios
1,Mujer,28,Primaria
1,Hombre,25,Superiores
1,Mujer,43,Superiores
0,Mujer,84,Primaria
1,Hombre,38,Superiores
1,Hombre,48,Secundaria
0,Mujer,74,Primaria
1,Mujer,37,Medios universitarios
0,Mujer,72,Primaria
0,Hombre,69,Primaria
1,Hombre,29,Superiores
1,Mujer,29,Medios universitarios
0,Mujer,52,Primaria
1,Mujer,53,Secundaria
1,Hombre,35,Superiores
1,Mujer,24,Superiores
0,Mujer,83,F.P.
1,Hombre,32,F.P.
0,Mujer,57,Primaria
1,Hombre,39,F.P.
1,Mujer,39,F.P.
0,Mujer,64,Primaria
1,Mujer,33,Medios universitarios
1,Hombre,56,Medios universitarios
0,Hombre,57,Primaria
0,Mujer,48,F.P.
0,Hombre,70,Primaria
1,Hombre,29,F.P.
0,Mujer,66,Primaria
0,Hombre,69,Primaria
1,Hombre,28,Superiores
1,Hombre,41,Secundaria
0,Mujer,81,Primaria
1,Mujer,51,Secundaria
1,Mujer,56,Secundaria
1,Hombre,20,Secundaria
1,Hombre,38,Medios universitarios
0,Hombre,53,Primaria
1,Hombre,37,F.P.
1,Hombre,24,F.P.
0,Hombre,40,F.P.
1,Mujer,24,Primaria
1,Hombre,29,F.P.
0,Mujer,75,Primaria
1,Mujer,35,Secundaria
1,Mujer,34,Primaria
1,Hombre,34,F.P.
1,Mujer,35,Superiores
0,Hombre,61,Secundaria
0,Mujer,72,Primaria
1,Mujer,25,F.P.
0,Mujer,64,Primaria
1,Hombre,49,Secundaria
1,Hombre,41,Medios universitarios
1,Hombre,32,Primaria
1,Hombre,24,Primaria
1,Mujer,18,F.P.
0,Mujer,56,Primaria
1,Hombre,35,Superiores
1,Hombre,65,Primaria
0,Mujer,46,F.P.
0,Mujer,86,Primaria
0,Hombre,60,Superiores
1,Mujer,26,Superiores
0,Mujer,85,Sin estudios
1,Hombre,18,Secundaria
1,Mujer,23,Primaria
1,Hombre,20,Secundaria
0,Mujer,70,F.P.
0,Mujer,31,Primaria
0,Mujer,51,Secundaria
1,Hombre,27,F.P.
0,Mujer,69,Primaria
1,Hombre,32,F.P.
1,Hombre,32,F.P.
1,Hombre,39,Superiores
0,Mujer,48,Primaria
0,Hombre,56,Primaria
1,Mujer,21,Secundaria
1,Mujer,41,F.P.
1,Hombre,54,Primaria
0,Mujer,32,Primaria
1,Hombre,53,Primaria
1,Mujer,26,Primaria
0,Mujer,51,Primaria
0,Mujer,67,Primaria
0,Hombre,60,Primaria
0,Hombre,70,Primaria
1,Hombre,41,F.P.
1,Mujer,39,Superiores
0,Mujer,51,F.P.
1,Hombre,28,Medios universitarios
0,Mujer,64,Primaria
1,Hombre,41,F.P.
1,Hombre,55,Superiores
1,Hombre,32,Superiores
1,Hombre,33,F.P.
1,Mujer,43,Primaria
1,Mujer,25,Primaria
1,Mujer,67,Secundaria
0,Hombre,55,Primaria
0,Mujer,47,Primaria
0,Hombre,65,F.P.
0,Hombre,59,Sin estudios
