Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,44.06600189208984,42.19200134277344,42.97200012207031,43.39799880981445,29616500,43.39799880981445
2017-01-04,45.59999847412109,42.86199951171875,42.95000076293945,45.39799880981445,56067500,45.39799880981445
2017-01-05,45.49599838256836,44.38999938964844,45.28400039672852,45.34999847412109,29558500,45.34999847412109
2017-01-06,46.0620002746582,45.09000015258789,45.38600158691406,45.80199813842773,27639500,45.80199813842773
2017-01-09,46.38399887084961,45.59999847412109,45.79399871826172,46.25600051879883,19897500,46.25600051879883
2017-01-10,46.40000152587891,45.37799835205078,46.40000152587891,45.9739990234375,18300000,45.9739990234375
2017-01-11,45.99599838256836,45.33599853515625,45.81399917602539,45.94599914550781,18254000,45.94599914550781
2017-01-12,46.13999938964844,45.11600112915039,45.8120002746582,45.91799926757812,18951000,45.91799926757812
2017-01-13,47.56999969482422,45.91799926757812,46.0,47.54999923706055,30465000,47.54999923706055
2017-01-17,47.99200057983398,46.87400054931641,47.34000015258789,47.11600112915039,23087500,47.11600112915039
2017-01-18,47.94200134277344,47.11600112915039,47.33000183105469,47.67200088500977,18845000,47.67200088500977
2017-01-19,49.73600006103516,48.15000152587891,49.45000076293945,48.75199890136719,38661500,48.75199890136719
2017-01-20,49.20000076293945,48.60200119018555,49.09199905395508,48.94599914550781,21021500,48.94599914550781
2017-01-23,50.17800140380859,49.09999847412109,49.16999816894531,49.78400039672852,31314500,49.78400039672852
2017-01-24,50.95999908447266,49.93000030517578,50.0,50.92200088500977,24827500,50.92200088500977
2017-01-25,51.69200134277344,50.36000061035156,51.46200180053711,50.89400100708008,25713000,50.89400100708008
2017-01-26,51.14799880981445,50.15000152587891,50.85800170898438,50.50199890136719,15760500,50.50199890136719
2017-01-27,50.59999847412109,49.70399856567383,50.2760009765625,50.59000015258789,15831500,50.59000015258789
2017-01-30,51.05799865722656,49.41999816894531,50.50600051879883,50.12599945068359,19005500,50.12599945068359
2017-01-31,51.17800140380859,49.54000091552734,49.84799957275391,50.38600158691406,20580500,50.38600158691406
2017-02-01,50.63999938964844,49.81000137329102,50.61000061035156,49.84799957275391,19794000,49.84799957275391
2017-02-02,50.48400115966797,49.54199981689453,49.66799926757812,50.31000137329102,12499000,50.31000137329102
